case_id,layer,cosine_similarity
14527,1,0.9762026471778652
14527,2,0.9741212143829894
14527,2,0.9703993540265798
14527,3,0.9394197184361774
14527,3,0.859677614052408
14527,4,0.9325149730021403
14527,4,0.9022785944431156
14527,5,0.9552642780089196
14527,5,0.9368516335464515
14527,6,0.9547052292973521
14527,6,0.9440594929596059
14527,7,0.9792565204323787
14527,7,0.9640534100528563
14527,8,0.9815388262884264
14527,8,0.9647493192784784
14527,9,0.9828252990790273
14527,9,0.9677330638433563
14527,10,0.9804999333295883
14527,10,0.9759163460416704
14527,11,0.9333216922958868
14527,11,0.9381478433294937
14527,12,0.937316406162138
14527,12,0.9328780718498089
14527,13,0.9564402003618754
14527,13,0.9482963328132917
14527,14,0.9510926410199333
14527,14,0.9517947975909368
14527,15,0.9333194239454966
14527,15,0.9449915212751527
14527,16,0.9446856874675332
14527,16,0.9561961652503365
14527,17,0.5596019726685441
14527,17,0.7233940112901812
17517,0,0.5190718888336666
17517,0,0.4945271784449511
17517,1,0.9579301484325806
17517,1,0.9578282743488005
17517,2,0.9602158943225114
17517,2,0.9626001186039335
17517,3,0.9336064617168038
17517,3,0.9028633685149283
17517,4,0.9565123335090637
17517,4,0.8875454400013555
17517,5,0.9727221161902984
17517,5,0.9556485196790072
17517,6,0.9629746133931282
17517,6,0.8756050426903451
17517,7,0.9794770476617926
17517,7,0.956411675044411
17517,8,0.9833211934497165
17517,8,0.9720506184742869
17517,9,0.9814867881150902
17517,9,0.9710562899714924
17517,10,0.9809814725062208
17517,10,0.9766419361277268
17517,11,0.9675840796473963
17517,11,0.9380865076724669
17517,12,0.9442558854897123
17517,12,0.9280630553689682
17517,13,0.9517192585035937
17517,13,0.9155143455811451
17517,14,0.9524269865122227
17517,14,0.9158712808344454
17517,15,0.9357438433306295
17517,15,0.9126048771722569
17517,16,0.9514024859772117
17517,16,0.9347145489063591
17517,17,0.7791343566197791
17517,17,0.7996485119400828
18032,0,0.34923592402374887
18032,0,0.7700326994081796
18032,1,0.9895627829106034
18032,1,0.9797191927992783
18032,2,0.986998148294631
18032,2,0.9746241792836429
18032,3,0.967371580918466
18032,3,0.9220492688958817
18032,4,0.9632822228151081
18032,4,0.9300229467954354
18032,5,0.9793453303690379
18032,5,0.9539076094663035
18032,6,0.9633420828342648
18032,6,0.9428614636954228
18032,7,0.9887009930357001
18032,7,0.9775857561701736
18032,8,0.9805860306469736
18032,8,0.9827477182462399
18032,9,0.9839955476112945
18032,9,0.9811898498449716
18032,10,0.9812608222779903
18032,10,0.9778844409229025
18032,11,0.9542048483212437
18032,11,0.962322627502542
18032,12,0.9273865501441964
18032,12,0.9506850405392152
18032,13,0.9442942689451527
18032,13,0.9617350291589554
18032,14,0.9446719668663885
18032,14,0.956656510005786
18032,15,0.9399044503049342
18032,15,0.9564032628070789
18032,16,0.9558975221342961
18032,16,0.9619726409569123
18032,17,0.8116137193830503
18032,17,0.8103663266658125
20149,0,0.9988178190010117
20149,0,0.9947541836053997
20149,1,0.9999144061719495
20149,1,0.9993816126597646
20149,2,0.9984137276397836
20149,2,0.9985764357361943
20149,3,0.995967735846281
20149,3,0.9974451598541023
20149,4,0.9955982765804152
20149,4,0.9943384862143376
20149,5,0.9974741925722744
20149,5,0.9955491897504659
20149,6,0.997306469237421
20149,6,0.9982320634057987
20149,7,0.9982943597875494
20149,7,0.9985238701552356
20149,8,0.9974146538566757
20149,8,0.9979816188487628
20149,9,0.9937114677440549
20149,9,0.9979003540748913
20149,10,0.9921590821512991
20149,10,0.9946972860234292
20149,11,0.9798580221194708
20149,11,0.983788266398669
20149,12,0.9792824149905394
20149,12,0.9658752177401335
20149,13,0.9786875376298719
20149,13,0.9722115854581611
20149,14,0.9801933058721338
20149,14,0.9749999333292206
20149,15,0.9731457328915724
20149,15,0.9585022868269173
20149,16,0.9801950816862265
20149,16,0.970956009090496
20149,17,0.9224450420275238
20149,17,0.917163547537466
20587,0,0.9954713113792383
20587,0,0.9963798802331307
20587,1,0.9995290205655487
