fact_id,relation,position,layer,within_fact_similarity,same_relation_similarity,invariance_gap,split_eval,analysis_variant
capital:2,capital,subject,8,0.8592085639635721,0.8064302661839653,0.05277829777960685,all,all_families
capital:2,capital,subject,9,0.8573689063390096,0.8067605938105022,0.05060831252850739,all,all_families
capital:2,capital,subject,10,0.8410481115182241,0.7924782573519384,0.048569854166285675,all,all_families
capital:2,capital,subject,11,0.845054934422175,0.7966901769532877,0.048364757468887354,all,all_families
capital:2,capital,subject,12,0.8524090846379598,0.8000768405549666,0.052332244082993196,all,all_families
capital:2,capital,subject,13,0.8514188528060913,0.8062236885375836,0.04519516426850767,all,all_families
capital:2,capital,subject,14,0.8573465943336487,0.8192074241883615,0.03813917014528723,all,all_families
capital:2,capital,subject,15,0.8762020965417227,0.8358188488465899,0.040383247695132796,all,all_families
capital:2,capital,subject,16,0.8893514772256216,0.8437812398461735,0.0455702373794481,all,all_families
capital:2,capital,subject,17,0.8842066327730814,0.8391519151628017,0.04505471761027968,all,all_families
capital:2,capital,subject,18,0.8720681170622507,0.8316237518892569,0.04044436517299388,all,all_families
capital:2,capital,subject,19,0.8690072894096375,0.8439124982584926,0.02509479115114488,all,all_families
capital:2,capital,subject,20,0.8477131823698679,0.8245974614777986,0.02311572089206937,all,all_families
capital:2,capital,subject,21,0.8370297451814016,0.8245299206498791,0.012499824531522541,all,all_families
capital:2,capital,subject,22,0.7900715370972952,0.790096143808435,-2.460671113979629e-05,all,all_families
capital:2,capital,subject,23,0.7274194757143656,0.7440735569552464,-0.016654081240880747,all,all_families
capital:2,capital,subject,24,0.722019225358963,0.7473077178001404,-0.025288492441177368,all,all_families
capital:2,capital,subject,25,0.6668302367130915,0.7073134386583286,-0.040483201945237135,all,all_families
capital:2,capital,subject,26,0.6487257778644562,0.6894702214528533,-0.04074444358839713,all,all_families
capital:2,capital,subject,27,0.6256799201170603,0.6621152972254682,-0.03643537710840794,all,all_families
capital:2,capital,subject,28,0.6234766393899918,0.6642887122271692,-0.04081207283717747,all,all_families
capital:2,capital,subject,29,0.6306771437327067,0.6798437967458192,-0.049166653013112516,all,all_families
capital:2,capital,subject,30,0.6143705099821091,0.6675180888132137,-0.05314757883110466,all,all_families
capital:2,capital,subject,31,0.5640096093217531,0.6034673557561987,-0.03945774643444555,all,all_families
capital:2,capital,preanswer,0,0.7767699658870697,0.8328425901777604,-0.05607262429069071,all,all_families
capital:2,capital,preanswer,1,0.8309871157010397,0.8735097861465286,-0.042522670445488964,all,all_families
capital:2,capital,preanswer,2,0.8036279678344727,0.852435514330864,-0.048807546496391296,all,all_families
capital:2,capital,preanswer,3,0.7556931773821512,0.8162510712795398,-0.060557893897388526,all,all_families
capital:2,capital,preanswer,4,0.741334984699885,0.8054783160195631,-0.06414333131967809,all,all_families
capital:2,capital,preanswer,5,0.7139173944791158,0.78437810128226,-0.0704607068031442,all,all_families
capital:2,capital,preanswer,6,0.698716789484024,0.7737863883376122,-0.0750695988535881,all,all_families
capital:2,capital,preanswer,7,0.722513884305954,0.7897395662525121,-0.06722568194655809,all,all_families
capital:2,capital,preanswer,8,0.7193810641765594,0.7877170049092349,-0.06833594073267546,all,all_families
capital:2,capital,preanswer,9,0.7227937877178192,0.7892344195176574,-0.06644063179983817,all,all_families
capital:2,capital,preanswer,10,0.7105705837408701,0.7792523621636278,-0.06868177842275769,all,all_families
capital:2,capital,preanswer,11,0.7170797288417816,0.7842154086512678,-0.0671356798094862,all,all_families
capital:2,capital,preanswer,12,0.7368405063947042,0.7989842304412056,-0.06214372404650137,all,all_families
capital:2,capital,preanswer,13,0.7325785557428995,0.7963528604630161,-0.06377430472011658,all,all_families
